Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2024-12-15 00:00:00,3870.3,3911.5,3831.5,3845.2,62839.8966,2024-12-15 07:59:59.999,243754123.298614,953497,31437.9862,122013531.666789
2024-12-15 08:00:00,3845.19,3910.33,3837.21,3894.76,70204.8344,2024-12-15 15:59:59.999,272348297.722557,1054609,40209.1271,156036137.512718
2024-12-15 16:00:00,3894.76,3974.61,3844.4,3959.09,120788.4831,2024-12-15 23:59:59.999,471762582.106372,1629589,65929.123,257620551.980786
2024-12-16 00:00:00,3959.09,4025.18,3928.88,3974.01,188439.1301,2024-12-16 07:59:59.999,750523327.187298,2065603,107313.0611,427592225.515308
2024-12-16 08:00:00,3974.0,3975.91,3884.0,3941.21,186194.5114,2024-12-16 15:59:59.999,731769421.540187,2551088,94087.5145,369890087.641647
2024-12-16 16:00:00,3941.21,4107.8,3939.4,3986.24,298717.4308,2024-12-16 23:59:59.999,1204258248.38276,2500933,156569.6505,631238260.888206
2024-12-17 00:00:00,3986.24,4041.82,3943.0,3994.24,122996.1371,2024-12-17 07:59:59.999,491607158.188241,1854998,60582.6811,242264105.766381
2024-12-17 08:00:00,3994.23,4031.38,3916.57,3939.18,170833.3736,2024-12-17 15:59:59.999,681443044.403483,2765323,80456.0611,321190633.897799
2024-12-17 16:00:00,3939.19,3984.46,3847.96,3893.01,156996.4754,2024-12-17 23:59:59.999,615482640.109033,2253879,70967.3558,278409333.106361
2024-12-18 00:00:00,3893.01,3903.2,3803.63,3847.33,164469.6678,2024-12-18 07:59:59.999,633289646.839181,2586018,75367.7479,290310446.733572
2024-12-18 08:00:00,3847.33,3891.09,3825.0,3867.98,130105.7215,2024-12-18 15:59:59.999,502505268.45875,1278979,66157.5276,255561124.111785
2024-12-18 16:00:00,3867.99,3907.19,3617.42,3626.8,427929.6725,2024-12-18 23:59:59.999,1599579717.44071,2719247,197462.4659,738032254.808671
2024-12-19 00:00:00,3626.8,3699.58,3542.22,3693.79,262017.2506,2024-12-19 07:59:59.999,951386263.660745,2034878,123119.6561,447310886.856471
2024-12-19 08:00:00,3693.79,3720.0,3572.73,3613.92,196518.8772,2024-12-19 15:59:59.999,718742871.9662,1354643,90806.8278,332067856.390189
2024-12-19 16:00:00,3613.92,3637.1,3326.8,3417.01,619617.3573,2024-12-19 23:59:59.999,2137846195.054217,2968117,284178.9219,980488327.116136
2024-12-20 00:00:00,3417.01,3465.6,3328.44,3390.48,292855.0439,2024-12-20 07:59:59.999,995992251.440127,2114828,122226.8426,415731055.182254
2024-12-20 08:00:00,3390.48,3396.4,3101.9,3374.61,793996.8371,2024-12-20 15:59:59.999,2582027109.200582,3817109,378243.2095,1229757513.332478
2024-12-20 16:00:00,3374.62,3497.84,3366.68,3472.21,245931.85,2024-12-20 23:59:59.999,843564934.94019,1097609,116078.6425,398386471.273244
2024-12-21 00:00:00,3472.2,3555.18,3445.35,3523.46,140091.1076,2024-12-21 07:59:59.999,489916537.302757,619735,71462.8497,249874215.645403
2024-12-21 08:00:00,3523.45,3527.49,3347.0,3390.4,193701.7116,2024-12-21 15:59:59.999,663378424.399936,1045745,89610.6525,307037850.362022
2024-12-21 16:00:00,3390.4,3401.33,3293.11,3338.92,141483.0008,2024-12-21 23:59:59.999,474165759.98946,1067197,66359.8768,222499874.37867
2024-12-22 00:00:00,3338.92,3374.48,3295.07,3332.4,87194.657,2024-12-22 07:59:59.999,291144290.662354,731911,43749.5302,146145206.90367
2024-12-22 08:00:00,3332.5,3403.0,3275.0,3302.38,130700.3894,2024-12-22 15:59:59.999,437316331.859372,813658,64360.7138,215467718.3343
2024-12-22 16:00:00,3302.38,3338.65,3221.1,3281.83,144025.2031,2024-12-22 23:59:59.999,473434602.495226,1000987,70214.4002,230858221.004771
2024-12-23 00:00:00,3281.83,3363.12,3216.97,3305.2,151561.9677,2024-12-23 07:59:59.999,498652179.492907,1159980,76332.5671,251180484.425388
2024-12-23 08:00:00,3305.2,3361.78,3269.35,3277.2,153667.7468,2024-12-23 15:59:59.999,510653349.517685,1261177,79114.0153,262938084.48691
2024-12-23 16:00:00,3277.19,3466.99,3270.91,3422.53,183023.6955,2024-12-23 23:59:59.999,617764054.86809,1611667,96159.6348,324456290.873414
2024-12-24 00:00:00,3422.53,3434.97,3358.19,3401.22,89749.7542,2024-12-24 07:59:59.999,305178112.704093,763282,43209.4503,146932765.729696
2024-12-24 08:00:00,3401.22,3510.0,3385.98,3493.07,119437.1213,2024-12-24 15:59:59.999,410703535.562431,1033039,62708.8455,215509053.580779
2024-12-24 16:00:00,3493.07,3539.65,3431.99,3493.18,106536.8008,2024-12-24 23:59:59.999,371594810.986639,968076,52300.603,182463570.148755
2024-12-25 00:00:00,3493.17,3509.68,3458.0,3489.22,60922.5464,2024-12-25 07:59:59.999,212263232.877843,624189,30868.3528,107558488.378195
2024-12-25 08:00:00,3489.21,3547.95,3457.7,3472.99,99952.8823,2024-12-25 15:59:59.999,349444885.978328,921695,48923.4829,171142863.921857
2024-12-25 16:00:00,3473.0,3500.0,3440.93,3497.0,58970.6165,2024-12-25 23:59:59.999,204641783.857046,587215,30594.3747,106192898.776629
2024-12-26 00:00:00,3497.0,3514.94,3417.95,3422.0,76500.9334,2024-12-26 07:59:59.999,264502843.941697,701938,39239.7424,135689496.082781
2024-12-26 08:00:00,3422.0,3426.0,3328.21,3344.13,128551.7884,2024-12-26 15:59:59.999,432722524.207447,1028214,63088.2281,212390484.776331
2024-12-26 16:00:00,3344.14,3365.01,3304.63,3335.05,105117.4501,2024-12-26 23:59:59.999,350238788.883045,813162,62018.2783,206647454.471009
2024-12-27 00:00:00,3335.04,3398.79,3317.25,3326.02,97219.9895,2024-12-27 07:59:59.999,326814154.879307,869643,50118.259,168526973.67213
2024-12-27 08:00:00,3326.01,3444.16,3307.83,3326.32,161225.918,2024-12-27 15:59:59.999,545475049.204902,1355224,77291.3603,261555437.169376
2024-12-27 16:00:00,3326.32,3366.62,3306.6,3333.51,84083.6963,2024-12-27 23:59:59.999,280346020.18123,908528,44158.0511,147245217.628649
2024-12-28 00:00:00,3333.51,3361.14,3322.23,3335.53,50206.3983,2024-12-28 07:59:59.999,167752508.872765,449471,24592.0708,82184635.310113
2024-12-28 08:00:00,3335.53,3396.0,3333.0,3368.38,68222.9538,2024-12-28 15:59:59.999,229411395.256588,554791,34003.5924,114414484.707777
2024-12-28 16:00:00,3368.39,3428.68,3365.61,3404.0,57534.2609,2024-12-28 23:59:59.999,195427972.049633,441072,29809.2946,101272770.091572
